,0
2020-01-03,1.0006381406190046
2020-01-06,1.0142629872655011
2020-01-07,1.020438837842863
2020-01-08,1.0431689614454962
2020-01-09,1.0491238610927232
2020-01-10,1.0485937260004012
2020-01-13,1.0846974113792418
2020-01-14,1.0843000645852634
2020-01-15,1.0766837307482056
2020-01-16,1.084724577992327
2020-01-17,1.0930249129038156
2020-01-21,1.1105765319012095
2020-01-22,1.1218688162564845
2020-01-23,1.1263780393784038
2020-01-24,1.115320051809247
2020-01-27,1.092863794397183
2020-01-28,1.1138500386200594
2020-01-29,1.132105753990389
2020-01-30,1.168278613488391
2020-01-31,1.1511312173839532
2020-02-03,1.1732481451527061
2020-02-04,1.1877246343868828
2020-02-05,1.1909052660136845
2020-02-06,1.211349857943542
2020-02-07,1.2071331275675374
2020-02-10,1.2272746302299304
2020-02-11,1.216181157982197
2020-02-12,1.2292372410236527
2020-02-13,1.2231694586330395
2020-02-14,1.2283756252767035
2020-02-18,1.2242818000609412
2020-02-19,1.2334343207410674
2020-02-20,1.2208685256720533
2020-02-21,1.1902021461896877
2020-02-24,1.1372514046217963
2020-02-25,1.1090540870241508
2020-02-26,1.120667510291241
2020-02-27,1.0501247587490308
2020-02-28,1.0637144211260112
2020-03-02,1.1032504413811755
2020-03-03,1.0653507564567908
2020-03-04,1.1011936062086407
2020-03-05,1.0476000222831812
2020-03-06,1.0312153021135084
2020-03-09,0.9654146468527255
2020-03-10,1.0169035338350438
2020-03-11,0.9652955418598008
2020-03-12,0.8854771263399921
2020-03-13,0.9687265714919628
2020-03-16,0.8611899638770762
2020-03-17,0.8893608282030796
2020-03-18,0.8710938095983252
2020-03-19,0.8857788264297066
2020-03-20,0.851651430445761
2020-03-23,0.8391822792874618
2020-03-24,0.9010039975293591
2020-03-25,0.875612900885482
2020-03-26,0.9226780538327956
2020-03-27,0.882141392911805
2020-03-30,0.9108204222614394
2020-03-31,0.9235199081907812
2020-04-01,0.881620979772176
2020-04-02,0.8968449072964
2020-04-03,0.8839861962220698
2020-04-06,0.9553376617426935
2020-04-07,0.9477866898152225
2020-04-08,0.9651002102189518
2020-04-09,0.9677399946583182
2020-04-13,0.976373059061754
2020-04-14,1.0229498543480664
2020-04-15,1.0142821373324367
2020-04-16,1.0282891049072789
2020-04-17,1.03174430496261
2020-04-20,1.0130994738274053
2020-04-21,0.9752620923481197
2020-04-22,1.008038910795269
2020-04-23,1.005444404586804
2020-04-24,1.022567345525172
2020-04-27,1.0209205247462463
2020-04-28,0.996162040035282
2020-04-29,1.0495949887688112
2020-04-30,1.062543469811076
2020-05-01,1.0184948940731902
2020-05-04,1.051255754850794
2020-05-05,1.065260935401722
2020-05-06,1.0748618166343646
2020-05-07,1.0833679166970809
2020-05-08,1.108200601433307
2020-05-11,1.1158729845028186
2020-05-12,1.1002484266939911
2020-05-13,1.081217344198195
2020-05-14,1.08964043272951
2020-05-15,1.0940145987628385
2020-05-18,1.1101618376140727
2020-05-19,1.1026230904404237
2020-05-20,1.121053550043019
2020-05-21,1.1189541885741938
2020-05-22,1.118773357298784
2020-05-26,1.11591215067237
2020-05-27,1.1181212826771822
2020-05-28,1.1124807276312503
2020-05-29,1.1275140303805105
2020-06-01,1.1522078579735677
2020-06-02,1.1530022160060975
2020-06-03,1.1551794325189795
2020-06-04,1.1379480742627317
2020-06-05,1.1649908302367349
2020-06-08,1.191313801550986
2020-06-09,1.2020615428489696
2020-06-10,1.2498963631845754
2020-06-11,1.1889804899698662
2020-06-12,1.1843941221409942
2020-06-15,1.2089547385072195
2020-06-16,1.2265644797597863
2020-06-17,1.232000495751399
2020-06-18,1.2359829173545636
2020-06-19,1.230521569841193
2020-06-22,1.249419332084598
2020-06-23,1.2632167518425863
2020-06-24,1.231377694070792
2020-06-25,1.2494181885742384
2020-06-26,1.2076091451812985
2020-06-29,1.2412028694056463
2020-06-30,1.2775286140895583
2020-07-01,1.2866743480210976
2020-07-02,1.297990905036167
2020-07-06,1.3280510783273336
2020-07-07,1.318504042793527
2020-07-08,1.3414397414241157
2020-07-09,1.3509989619768032
2020-07-10,1.3598862075497076
2020-07-13,1.3350953353722397
2020-07-14,1.3479711781098216
2020-07-15,1.348337975782727
2020-07-16,1.3355038035284237
2020-07-17,1.3316692581451852
2020-07-20,1.3745944855178158
2020-07-21,1.360069371722373
2020-07-22,1.3706459330507217
2020-07-23,1.3147076022938755
2020-07-24,1.3098937106157849
2020-07-27,1.3311026506890768
2020-07-28,1.3110180862308713
2020-07-29,1.3302080338868958
2020-07-30,1.3381055499432808
2020-07-31,1.3730497607208438
2020-08-03,1.4051028246416069
2020-08-04,1.3978803936248667
2020-08-05,1.4018162290946057
2020-08-06,1.4333906757468529
2020-08-07,1.4132862420579955
2020-08-10,1.4112295922558926
2020-08-11,1.3823292405990282
2020-08-12,1.4181514508196493
2020-08-13,1.4289758980706087
2020-08-14,1.425210178382925
2020-08-17,1.4307138362799798
2020-08-18,1.451424269696905
2020-08-19,1.4452987631905336
2020-08-20,1.4778224318194815
2020-08-21,1.4972267321760055
2020-08-24,1.5069749242011325
2020-08-25,1.516579525948321
2020-08-26,1.5489942227447817
2020-08-27,1.5489885034840967
2020-08-28,1.556874112547217
2020-08-31,1.5620728767961707
2020-09-01,1.5932691560573455
2020-09-02,1.6194945930388485
2020-09-03,1.5185140114936857
2020-09-04,1.4934368967588327
2020-09-08,1.4171634173741299
2020-09-09,1.4618207206311156
2020-09-10,1.4257981065892877
2020-09-11,1.4134011647068285
2020-09-14,1.4278705072544455
2020-09-15,1.4443825298816904
2020-09-16,1.4164418021403777
2020-09-17,1.3960407848460266
2020-09-18,1.36504251910801
2020-09-21,1.3709662782440186
2020-09-22,1.400731783181622
2020-09-23,1.3503491495936788
2020-09-24,1.3648868052603287
2020-09-25,1.3956892598992394
2020-09-28,1.415931356318065
2020-09-29,1.409850581621568
2020-09-30,1.4228200104676059
2020-10-01,1.4502696156169101
2020-10-02,1.3934058202558983
2020-10-05,1.4266905608636358
2020-10-06,1.3912634667220674
2020-10-07,1.414936531533122
2020-10-08,1.4225893500248254
2020-10-09,1.4513663412226807
2020-10-12,1.5036661567997545
2020-10-13,1.500476255813164
2020-10-14,1.5088331854058192
2020-10-15,1.4929808332537633
2020-10-16,1.48341984229215
2020-10-19,1.448253355843803
2020-10-20,1.4513156059557406
2020-10-21,1.4589116066036871
2020-10-22,1.4633280463682907
2020-10-23,1.4647456329329878
2020-10-26,1.4427776032266368
2020-10-27,1.4599877728856354
2020-10-28,1.3890152709953123
2020-10-29,1.421080286352908
2020-10-30,1.3897551973984912
2020-11-02,1.4014687908070482
2020-11-03,1.439619738095493
2020-11-04,1.49077708109772
2020-11-05,1.5340710265726953
2020-11-06,1.5268955670437845
2020-11-09,1.502734494203426
2020-11-10,1.4743699558367018
2020-11-11,1.503925213307372
2020-11-12,1.4956609849720475
2020-11-13,1.5005224726982083
2020-11-16,1.5055851242635527
2020-11-17,1.5264821783224614
2020-11-18,1.5509786235910867
2020-11-19,1.5693120979982558
2020-11-20,1.5488398462344977
2020-11-23,1.5606758709971482
2020-11-24,1.6048834987842495
2020-11-25,1.6219283008946332
2020-11-27,1.6397519496073678
2020-11-30,1.6260648105224915
2020-12-01,1.6635761293648184
2020-12-02,1.6587476895330693
2020-12-03,1.673737475560108
2020-12-04,1.6758940794886246
2020-12-07,1.7088262998166888
2020-12-08,1.7196170721222153
2020-12-09,1.6640821910539303
2020-12-10,1.6800506476835841
2020-12-11,1.6727719135483203
2020-12-14,1.6878250441127765
2020-12-15,1.7063320687300432
2020-12-16,1.7081473947424108
2020-12-17,1.7304535206366165
2020-12-18,1.743568715685664
2020-12-21,1.7307422169020334
2020-12-22,1.7353964237612516
2020-12-23,1.7327693977044971
2020-12-24,1.751707576436759
2020-12-28,1.7823646768282937
2020-12-29,1.7720134459825567
2020-12-30,1.7776688227953261
2020-12-31,1.785852748536099
2021-01-04,1.7745449898394703
2021-01-05,1.7869591948257872
2021-01-06,1.7715758923051137
2021-01-07,1.847740467974394
2021-01-08,1.8959176976286929
2021-01-11,1.8326103444553217
2021-01-12,1.842950884592032
2021-01-13,1.8582163404654581
2021-01-14,1.8351780384922183
2021-01-15,1.8168004670391873
2021-01-19,1.8517729870361674
2021-01-20,1.9119413211504932
2021-01-21,1.9288389919269529
2021-01-22,1.9421308199425855
2021-01-25,1.9824339347378255
2021-01-26,1.9952554841522492
2021-01-27,1.9594618151749974
2021-01-28,1.9473685968553849
2021-01-29,1.8833799049758628
2021-02-01,1.951056425308936
2021-02-02,1.9797282108741543
2021-02-03,2.009432098781323
2021-02-04,2.0156938146533845
2021-02-05,2.0245621263470133
2021-02-08,2.031099321689206
2021-02-09,2.019993327736482
2021-02-10,1.9920622336519882
2021-02-11,1.9988844174955815
2021-02-12,2.005500038948114
2021-02-16,1.98679944772921
2021-02-17,1.9829054614402446
2021-02-18,1.9685150368632391
2021-02-19,1.9558963023272506
2021-02-22,1.8779717504783087
2021-02-23,1.8660372829022247
2021-02-24,1.901007894195332
2021-02-25,1.8204363387165625
2021-02-26,1.8249388869462728
2021-03-01,1.8799486425316605
2021-03-02,1.8583770319711652
2021-03-03,1.811806788282354
2021-03-04,1.8086588338624676
2021-03-05,1.8469751813178101
2021-03-08,1.7864328953047055
2021-03-09,1.8338608799373743
2021-03-10,1.8260994725187802
2021-03-11,1.8670192408558386
2021-03-12,1.8421611026233582
2021-03-15,1.8538025060675005
2021-03-16,1.8770697971548653
2021-03-17,1.8713070642825462
2021-03-18,1.8178706711941677
2021-03-19,1.8168079181911696
2021-03-22,1.8455732076723237
2021-03-23,1.8511026922440856
2021-03-24,1.8322099430411032
2021-03-25,1.8255739712676704
2021-03-26,1.836840135367285
2021-03-29,1.8409198322337479
2021-03-30,1.8250335850542398
2021-03-31,1.8498428645584746
2021-04-01,1.8771408309264483
2021-04-05,1.9412704848441413
2021-04-06,1.9403335112486195
2021-04-07,1.9417738996648688
2021-04-08,1.970301497672345
2021-04-09,1.9848943091534204
2021-04-12,1.989989479111647
2021-04-13,2.052614327354447
2021-04-14,2.0146276610360974
2021-04-15,2.045649796024688
2021-04-16,2.04768933371551
2021-04-19,2.0299874375018447
2021-04-20,2.0236978895680777
2021-04-21,2.0473329413437424
2021-04-22,2.012188083120744
2021-04-23,2.0463440908877506
2021-04-26,2.0573509767286593
2021-04-27,2.0292667321662914
2021-04-28,2.0204217885667393
2021-04-29,2.0139268920433038
2021-04-30,2.025678433856915
2021-05-03,2.008537723973502
2021-05-04,1.9657917110645946
2021-05-05,1.9627139060857515
2021-05-06,1.9751976259771076
2021-05-07,1.993393278270255
2021-05-10,1.9261473591062974
2021-05-11,1.9048990928226162
2021-05-12,1.8435946605904174
2021-05-13,1.8501169997620497
2021-05-14,1.8947242066688332
2021-05-17,1.8753737499471859
2021-05-18,1.8632995193771817
2021-05-19,1.8533068505231767
2021-05-20,1.89812986509579
2021-05-21,1.8816154569755004
2021-05-24,1.9316915413575908
2021-05-25,1.9318298678733572
2021-05-26,1.9476348916420285
2021-05-27,1.9403982912832323
2021-05-28,1.9360219953911175
2021-06-01,1.9329612814358752
2021-06-02,1.919556480012645
2021-06-03,1.8817349103941945
2021-06-04,1.9311584021874018
2021-06-07,1.9447324467566607
2021-06-08,1.9476677740189439
2021-06-09,1.9489290474987633
2021-06-10,1.9671663485847675
2021-06-11,1.9715633519514713
2021-06-14,1.996374112938
2021-06-15,1.9741520917624966
2021-06-16,1.9774411854104463
2021-06-17,2.0026709992857668
2021-06-18,1.9970626794038169
2021-06-21,2.011804954403769
2021-06-22,2.028205712073496
2021-06-23,2.0512535384575235
2021-06-24,2.0743729858628073
2021-06-25,2.062725405462719
2021-06-28,2.0886148383304537
2021-06-29,2.0904946006839533
2021-06-30,2.088219742615045
2021-07-01,2.0937676403296703
2021-07-02,2.1261782756614824
2021-07-06,2.1232383090337765
2021-07-07,2.1263475326754295
2021-07-08,2.1197392245356856
2021-07-09,2.1326423623276987
2021-07-12,2.1566158437656666
2021-07-13,2.1562702771050186
2021-07-14,2.164450714269965
2021-07-15,2.153539667225523
2021-07-16,2.142520463801297
2021-07-19,2.112103550352692
2021-07-20,2.149437115082949
2021-07-21,2.152586782073483
2021-07-22,2.1648355244931197
2021-07-23,2.19131483049933
2021-07-26,2.2111218237538752
2021-07-27,2.176018103915603
2021-07-28,2.1689817325347525
2021-07-29,2.198066675870535
2021-07-30,2.198527457373067
2021-08-02,2.2181680839861118
2021-08-03,2.230897425433834
2021-08-04,2.228058729796577
2021-08-05,2.2409671213757885
2021-08-06,2.226397874973515
2021-08-09,2.2396301388614184
2021-08-10,2.2315080114562083
2021-08-11,2.230148194387133
2021-08-12,2.2614875882286847
2021-08-13,2.2643065670521776
2021-08-16,2.252975468682512
2021-08-17,2.223258238642855
2021-08-18,2.2221631937858155
2021-08-19,2.2238782046096626
2021-08-20,2.2555362760692557
2021-08-23,2.294287573834231
2021-08-24,2.2971795697673185
2021-08-25,2.295606707113664
2021-08-26,2.2754639973141293
2021-08-27,2.299195465571934
2021-08-30,2.3430877771800507
2021-08-31,2.338677821634635
2021-09-01,2.3414313696780904
2021-09-02,2.336618720635448
2021-09-03,2.3422637602391716
2021-09-07,2.367922299879663
2021-09-08,2.3601737347218847
2021-09-09,2.3512970073287436
2021-09-10,2.302178412482217
2021-09-13,2.318432882388562
2021-09-14,2.319279119228244
2021-09-15,2.348679153421921
2021-09-16,2.3460393217924924
2021-09-17,2.315112307659371
2021-09-20,2.2596453781971078
2021-09-21,2.272225122237464
2021-09-22,2.303998667095252
2021-09-23,2.3146907739746414
2021-09-24,2.333863140540876
2021-09-27,2.32576667584255
2021-09-28,2.2588900785550283
2021-09-29,2.259334634854127
2021-09-30,2.2404517027391977
2021-10-01,2.2725183425332474
2021-10-04,2.2401614690211678
2021-10-05,2.2686924983039685
2021-10-06,2.287285407976115
2021-10-07,2.3114329003527545
2021-10-08,2.307561566807827
2021-10-11,2.3057445129144925
2021-10-12,2.2990210741998682
2021-10-13,2.3121287644253785
2021-10-14,2.356263920697606
2021-10-15,2.3824129585960105
2021-10-18,2.4200114114318723
2021-10-19,2.4305706825713282
2021-10-20,2.42612781581605
2021-10-21,2.454943445515112
2021-10-22,2.4414421302368314
2021-10-25,2.517136436178558
2021-10-26,2.524187378920948
2021-10-27,2.591338502758328
2021-10-28,2.6330296930202284
2021-10-29,2.6680681598744287
2021-11-01,2.6962109956013025
2021-11-02,2.698089428725199
2021-11-03,2.7348388474409817
2021-11-04,2.755298854624448
2021-11-05,2.755193908891876
2021-11-08,2.720446874133206
2021-11-09,2.6380043361472696
2021-11-10,2.6323098149654713
2021-11-11,2.6331417581554994
2021-11-12,2.6454473099884246
2021-11-15,2.630258007865139
2021-11-16,2.6668237104536225
2021-11-17,2.6998765171394536
2021-11-18,2.7354422436316863
2021-11-19,2.772679811977827
2021-11-22,2.766873808300179
2021-11-23,2.7340562419959555
2021-11-24,2.740877827925455
2021-11-26,2.663289277640688
2021-11-29,2.7412032028871867
2021-11-30,2.738055210752103
2021-12-01,2.7010427435975917
2021-12-02,2.699575091218951
2021-12-03,2.629166431426184
2021-12-06,2.651795874489477
2021-12-07,2.740667292402955
2021-12-08,2.770757010683483
2021-12-09,2.719746567432057
2021-12-10,2.7696369590679515
2021-12-13,2.705334958919449
2021-12-14,2.6643461226689644
2021-12-15,2.7193015335570685
2021-12-16,2.6269514580693873
2021-12-17,2.615231632496256
2021-12-20,2.577352200191105
2021-12-21,2.6403752181874336
2021-12-22,2.7243669974200757
2021-12-23,2.7700350124415882
2021-12-27,2.823823271047423
2021-12-28,2.806043229752742
2021-12-29,2.806635515418968
2021-12-30,2.7839803725518446
2021-12-31,2.7602420900775857
2022-01-03,2.7798095031750805
2022-01-04,2.7478262264951008
2022-01-05,2.6446378058657882
2022-01-06,2.6228605738522237
2022-01-07,2.620626849650158
2022-01-10,2.6315128609310974
2022-01-11,2.6566259149286404
2022-01-12,2.678917560276343
2022-01-13,2.607189691000805
2022-01-14,2.6316918625615
2022-01-18,2.5715176454776665
2022-01-19,2.5526044682538513
2022-01-20,2.5256457051120966
2022-01-21,2.4774484739017173
2022-01-24,2.47648117874142
2022-01-25,2.4213017388486104
2022-01-26,2.4612019556022218
2022-01-27,2.4672838041658642
2022-01-28,2.572181917268436
2022-01-31,2.6167909904920523
2022-02-01,2.618173985337078
2022-02-02,2.6629845136291705
2022-02-03,2.5910257157953103
2022-02-04,2.6250732967401955
2022-02-07,2.581519281727226
2022-02-08,2.612883790392554
2022-02-09,2.6501596752113463
2022-02-10,2.582861255740453
2022-02-11,2.5014935667635627
2022-02-14,2.5192140041099935
2022-02-15,2.584275395286028
2022-02-16,2.5883255481955407
2022-02-17,2.498275868295485
2022-02-18,2.4639219777854677
2022-02-22,2.4219916944856243
2022-02-23,2.3397758602408167
2022-02-24,2.4308695628510204
2022-02-25,2.4597220606953076
2022-02-28,2.511471592140938
2022-03-01,2.4883649485446475
2022-03-02,2.526099520403512
2022-03-03,2.484647066105061
2022-03-04,2.449641772938285
2022-03-07,2.361131790157311
2022-03-08,2.3661037220823276
2022-03-09,2.4693521726852534
2022-03-10,2.4260268297051266
2022-03-11,2.358642660943357
2022-03-14,2.296974732229162
2022-03-15,2.376107282327567
2022-03-16,2.4551852775729475
2022-03-17,2.48797129627424
2022-03-18,2.546243902369781
2022-03-21,2.5585720661300915
2022-03-22,2.6507244734979687
2022-03-23,2.641260398630075
2022-03-24,2.6895762833591057
2022-03-25,2.689980184905106
2022-03-28,2.764980889130968
2022-03-29,2.799910830560863
2022-03-30,2.7853052382204773
2022-03-31,2.735561995019351
2022-04-01,2.7464297559716893
2022-04-04,2.8279005313047065
2022-04-05,2.75918691640084
2022-04-06,2.6734404529788947
2022-04-07,2.6827051177683043
2022-04-08,2.6327095037934316
2022-04-11,2.5374577470176187
2022-04-12,2.5378645983412107
2022-04-13,2.592957358617385
2022-04-14,2.517175499175599
2022-04-18,2.533714538755239
2022-04-19,2.5812199404837406
2022-04-20,2.5396853695302903
2022-04-21,2.5284458413081157
2022-04-22,2.466326858102279
2022-04-25,2.4999634892003306
2022-04-26,2.35812156555531
2022-04-27,2.3669152914434806
2022-04-28,2.4269318073521093
2022-04-29,2.3521015143169284
2022-05-02,2.3905916910145915
2022-05-03,2.3958070149864383
2022-05-04,2.480799189053643
2022-05-05,2.3606763211736816
2022-05-06,2.348048505107494
2022-05-09,2.2758249007396056
2022-05-10,2.3123062834585237
2022-05-11,2.2455855130438183
2022-05-12,2.206444345467711
2022-05-13,2.267594843446657
2022-05-16,2.2502036860143098
2022-05-17,2.2963336701796173
2022-05-18,2.191585289511623
2022-05-19,2.1619443525193454
2022-05-20,2.151465411746219
2022-05-23,2.21747696874909
2022-05-24,2.162373165008787
2022-05-25,2.1712990019872977
2022-05-26,2.2134782505521637
2022-05-27,2.2936765001762347
2022-05-31,2.294752955433631
2022-06-01,2.296396181353218
2022-06-02,2.337655227465823
2022-06-03,2.274559088319754
2022-06-06,2.289095486695435
2022-06-07,2.315500658704899
2022-06-08,2.305125361982752
2022-06-09,2.246331394406081
2022-06-10,2.1601893909136605
2022-06-13,2.0725365901183657
2022-06-14,2.086006037287257
2022-06-15,2.1414440409301827
2022-06-16,2.0701850737439207
2022-06-17,2.0936049446655054
2022-06-21,2.159455432769029
2022-06-22,2.154912036618623
2022-06-23,2.192066807150977
2022-06-24,2.271627753493733
2022-06-27,2.251818590408923
2022-06-28,2.1797700688800603
2022-06-29,2.1992052375916638
2022-06-30,2.1584481565565734
2022-07-01,2.178217287510892
2022-07-05,2.2332838280210656
2022-07-06,2.249093721545892
2022-07-07,2.318268077251935
2022-07-08,2.3383338867308443
2022-07-11,2.2668118889300843
2022-07-12,2.2362443207947735
2022-07-13,2.229294937098387
2022-07-14,2.24299224612666
2022-07-15,2.2660419970877372
2022-07-18,2.2356768616595035
2022-07-19,2.2977496521636778
2022-07-20,2.316584743162154
2022-07-21,2.3893616079069373
2022-07-22,2.340906314950713
2022-07-25,2.3241374580688703
2022-07-26,2.2678567631260766
2022-07-27,2.4040028642681333
2022-07-28,2.441836271098123
2022-07-29,2.517653827967103
2022-08-01,2.501669144938126
2022-08-02,2.497922537798561
2022-08-03,2.5688564561207863
2022-08-04,2.573372388468948
2022-08-05,2.5246270417405188
2022-08-08,2.521524839138292
2022-08-09,2.5073644021520045
2022-08-10,2.5802089846527263
2022-08-11,2.551206936871886
2022-08-12,2.6206199948911277
2022-08-15,2.649785152607551
2022-08-16,2.6395592402778845
2022-08-17,2.6262954035509187
2022-08-18,2.6227122054361396
2022-08-19,2.5754321776636506
2022-08-22,2.5104218858625615
2022-08-23,2.5187100866353007
2022-08-24,2.5193416028216022
2022-08-25,2.5500255760096837
2022-08-26,2.4495451594802597
2022-08-29,2.4223952866444445
2022-08-30,2.390467081748458
2022-08-31,2.3720724892843448
2022-09-01,2.3833782823601246
2022-09-02,2.3403173042931322
2022-09-06,2.331745770387933
2022-09-07,2.3842651012800586
2022-09-08,2.3854880960833174
2022-09-09,2.4447721552409707
2022-09-12,2.483528740785802
2022-09-13,2.3514860327197273
2022-09-14,2.3818554364859135
2022-09-15,2.345598209325619
2022-09-16,2.3353456377204034
2022-09-19,2.3617133888062596
2022-09-20,2.3538303503785123
2022-09-21,2.3077762819560994
2022-09-22,2.2888107373196984
2022-09-23,2.238634315564407
2022-09-26,2.238144392908132
2022-09-27,2.2493392142700537
2022-09-28,2.2781803649783683
2022-09-29,2.188002157673208
2022-09-30,2.1441207675494875
2022-10-03,2.150033958233872
2022-10-04,2.214426095229259
2022-10-05,2.196094100202219
2022-10-06,2.181144163706146
2022-10-07,2.084667089211343
2022-10-10,2.0700339684789606
2022-10-11,2.0376040848571533
2022-10-12,2.039066688355871
2022-10-13,2.093197292122585
2022-10-14,2.0108730222612863
2022-10-17,2.0990827085908075
2022-10-18,2.1113493459371386
2022-10-19,2.105990821339561
2022-10-20,2.0697972871525154
2022-10-21,2.1196442926186836
2022-10-24,2.1386137179187545
2022-10-25,2.1947736233398443
2022-10-26,2.094279231083941
2022-10-27,2.0567751462606
2022-10-28,2.1462408550277097
2022-10-31,2.116496682784796
2022-11-01,2.075585614597279
2022-11-02,1.9889641174958357
2022-11-03,1.9349810122848314
2022-11-04,1.9511444720490494
2022-11-07,1.9538682271145824
2022-11-08,1.9451580439458864
2022-11-09,1.8766440822352957
