,Market Crash (-30%),Severe Crash (-50%),Moderate Drawdown (-15%),Bull Shock (+20%),Volatility Spike
2020-01-03,-0.29936185938099547,-0.4993618593809954,-0.14936185938099544,0.20063814061900456,0.0015953515475113783
2020-01-06,-0.2863838423767577,-0.4863838423767577,-0.13638384237675769,0.21361615762324232,0.03404039405810577
2020-01-07,-0.293910996797771,-0.49391099679777106,-0.14391099679777103,0.20608900320222898,0.015222508005572413
2020-01-08,-0.2777251484756469,-0.4777251484756469,-0.1277251484756469,0.2222748515243531,0.05568712881088275
2020-01-09,-0.2942915291124313,-0.49429152911243124,-0.14429152911243126,0.20570847088756875,0.014271177218921835
2020-01-10,-0.30050531220571974,-0.5005053122057197,-0.15050531220571972,0.19949468779428028,-0.001263280514299317
2020-01-13,-0.26556942456965743,-0.46556942456965744,-0.11556942456965744,0.23443057543034257,0.0860764385758564
2020-01-14,-0.3003663204040222,-0.5003663204040223,-0.15036632040402226,0.19963367959597775,-0.0009158010100556585
2020-01-15,-0.30702419384247753,-0.5070241938424775,-0.15702419384247754,0.19297580615752247,-0.01756048460619386
2020-01-16,-0.2925318391887154,-0.4925318391887154,-0.1425318391887154,0.2074681608112846,0.01867040202821149
2020-01-17,-0.29234797931208356,-0.49234797931208363,-0.1423479793120836,0.2076520206879164,0.019130051719791
2020-01-21,-0.28394216015555873,-0.48394216015555874,-0.13394216015555874,0.21605783984444127,0.04014459961110314
2020-01-22,-0.28983205206403595,-0.48983205206403596,-0.13983205206403596,0.21016794793596405,0.025419869839910098
2020-01-23,-0.2959806146168088,-0.4959806146168088,-0.1459806146168088,0.2040193853831912,0.010048463457977969
2020-01-24,-0.3098172968422387,-0.5098172968422388,-0.1598172968422387,0.1901827031577613,-0.024543242105596746
2020-01-27,-0.32013436176964255,-0.5201343617696426,-0.17013436176964256,0.17986563823035745,-0.050335904424106404
2020-01-28,-0.2807970175876746,-0.4807970175876746,-0.13079701758767462,0.2192029824123254,0.04800745603081344
2020-01-29,-0.28361025745176044,-0.48361025745176045,-0.13361025745176044,0.21638974254823956,0.040974356370598874
2020-01-30,-0.26804816213458715,-0.4680481621345871,-0.11804816213458713,0.23195183786541287,0.07987959466353216
2020-01-31,-0.31467748866277456,-0.5146774886627745,-0.16467748866277457,0.18532251133722544,-0.036693721656936434
2020-02-03,-0.2807867883046245,-0.4807867883046245,-0.13078678830462453,0.21921321169537547,0.048033029238438676
2020-02-04,-0.28766118719728095,-0.48766118719728097,-0.13766118719728093,0.21233881280271907,0.03084703200679763
2020-02-05,-0.2973220799377933,-0.4973220799377933,-0.14732207993779328,0.20267792006220672,0.006694800155516777
2020-02-06,-0.2828327302655302,-0.4828327302655302,-0.13283273026553022,0.21716726973446981,0.042918174336174474
2020-02-07,-0.3034810177657206,-0.5034810177657206,-0.15348101776572062,0.19651898223427938,-0.008702544414301582
2020-02-10,-0.2833145970378763,-0.4833145970378763,-0.13331459703787635,0.21668540296212366,0.04171350740530913
2020-02-11,-0.30903911151952596,-0.509039111519526,-0.15903911151952596,0.19096088848047404,-0.022597778798814902
2020-02-12,-0.28926468893571955,-0.48926468893571956,-0.13926468893571955,0.21073531106428045,0.0268382776607011
2020-02-13,-0.30493621750798905,-0.5049362175079891,-0.15493621750798905,0.19506378249201095,-0.012340543769972677
2020-02-14,-0.29574370778560616,-0.49574370778560617,-0.1457437077856062,0.20425629221439381,0.010640730535984525
2020-02-18,-0.30333271446577276,-0.5033327144657728,-0.1533327144657728,0.19666728553422722,-0.008331786164431983
2020-02-19,-0.29252417157580024,-0.49252417157580025,-0.14252417157580022,0.2074758284241998,0.01868957106049941
2020-02-20,-0.3101876483066114,-0.5101876483066113,-0.16018764830661136,0.18981235169338861,-0.025469120766528457
2020-02-21,-0.3251184946106172,-0.5251184946106172,-0.1751184946106172,0.1748815053893828,-0.06279623652654302
2020-02-24,-0.34448886412901186,-0.5444888641290119,-0.19448886412901187,0.15551113587098814,-0.11122216032252967
2020-02-25,-0.3247942693084848,-0.5247942693084848,-0.1747942693084848,0.1752057306915152,-0.061985673271212016
