Price,Close
Ticker,MSFT
Date,
2020-01-02,152.5056610107422
2020-01-03,150.60671997070312
2020-01-06,150.99600219726562
2020-01-07,149.61929321289062
2020-01-08,152.00241088867188
2020-01-09,153.90142822265625
2020-01-10,153.18931579589844
2020-01-13,155.03131103515625
2020-01-14,153.9394073486328
2020-01-15,154.9363555908203
2020-01-16,157.77529907226562
2020-01-17,158.6583251953125
2020-01-21,158.08868408203125
2020-01-22,157.3291015625
2020-01-23,158.29754638671875
2020-01-24,156.70240783691406
2020-01-27,154.081787109375
2020-01-28,157.1011962890625
2020-01-29,159.5508575439453
2020-01-30,164.05136108398438
2020-01-31,161.63021850585938
2020-02-03,165.570556640625
2020-02-04,171.02059936523438
2020-02-05,170.8117218017578
2020-02-06,174.35324096679688
2020-02-07,174.60012817382812
2020-02-10,179.16709899902344
2020-02-11,175.1223602294922
2020-02-12,175.3787384033203
2020-02-13,174.42921447753906
2020-02-14,175.98634338378906
2020-02-18,177.7714080810547
2020-02-19,178.30455017089844
2020-02-20,175.5815887451172
2020-02-21,170.03102111816406
2020-02-24,162.70004272460938
2020-02-25,160.01522827148438
2020-02-26,162.0145721435547
2020-02-27,150.5991973876953
2020-02-28,154.2456512451172
2020-03-02,164.5089874267578
2020-03-03,156.6258544921875
2020-03-04,162.37635803222656
2020-03-05,158.30148315429688
2020-03-06,153.8267059326172
2020-03-09,143.40151977539062
2020-03-10,153.2078857421875
2020-03-11,146.26724243164062
2020-03-12,132.3955078125
2020-03-13,151.2180633544922
2020-03-16,128.929931640625
2020-03-17,139.54562377929688
2020-03-18,133.6712646484375
2020-03-19,135.87057495117188
2020-03-20,130.7674560546875
2020-03-23,129.46311950683594
2020-03-24,141.23074340820312
2020-03-25,139.87881469726562
2020-03-26,148.62838745117188
2020-03-27,142.5255889892578
2020-03-30,152.5509490966797
2020-03-31,150.15171813964844
2020-04-01,144.82009887695312
2020-04-02,147.81912231445312
2020-04-03,146.45767211914062
2020-04-06,157.3494415283203
2020-04-07,155.6546630859375
2020-04-08,157.216064453125
2020-04-09,157.2256317138672
2020-04-13,157.577880859375
2020-04-14,165.3753662109375
2020-04-15,163.642578125
2020-04-16,168.55532836914062
2020-04-17,170.04054260253906
2020-04-20,166.6702117919922
2020-04-21,159.77716064453125
2020-04-22,165.2039794921875
2020-04-23,163.20465087890625
2020-04-24,166.1846466064453
2020-04-27,165.70858764648438
2020-04-28,161.6718292236328
2020-04-29,168.9266357421875
2020-04-30,170.62132263183594
2020-05-01,166.2036590576172
2020-05-04,170.26902770996094
2020-05-05,172.09701538085938
2020-05-06,173.7917022705078
2020-05-07,174.8009490966797
2020-05-08,175.82913208007812
2020-05-11,177.7904510498047
2020-05-12,173.76319885253906
2020-05-13,171.13543701171875
2020-05-14,171.87806701660156
2020-05-15,174.38198852539062
2020-05-18,176.04812622070312
2020-05-19,174.82948303222656
2020-05-20,177.25453186035156
2020-05-21,175.12542724609375
2020-05-22,175.2018280029297
2020-05-26,173.34967041015625
2020-05-27,173.5788116455078
2020-05-28,173.18734741210938
2020-05-29,174.95358276367188
2020-06-01,174.55262756347656
2020-06-02,176.53846740722656
2020-06-03,176.96807861328125
2020-06-04,174.6385498046875
2020-06-05,178.7247772216797
2020-06-08,179.83226013183594
2020-06-09,181.2070770263672
2020-06-10,187.9283447265625
2020-06-11,177.83685302734375
2020-06-12,179.24029541015625
2020-06-15,180.385986328125
2020-06-16,184.8063507080078
2020-06-17,185.44607543945312
2020-06-18,187.43185424804688
2020-06-19,186.31483459472656
2020-06-22,191.48948669433594
2020-06-23,192.76878356933594
2020-06-24,188.883056640625
2020-06-25,191.26986694335938
2020-06-26,187.44142150878906
2020-06-29,189.45590209960938
2020-06-30,194.2963409423828
2020-07-01,195.43247985839844
2020-07-02,196.9218292236328
2020-07-06,201.16082763671875
2020-07-07,198.82176208496094
2020-07-08,203.1944122314453
2020-07-09,204.61695861816406
2020-07-10,203.996337890625
2020-07-13,197.6951904296875
2020-07-14,198.917236328125
2020-07-15,198.6212921142578
2020-07-16,194.68777465820312
2020-07-17,193.69488525390625
2020-07-20,202.02011108398438
2020-07-21,199.29910278320312
2020-07-22,202.16329956054688
2020-07-23,193.3702850341797
2020-07-24,192.1864013671875
2020-07-27,194.6209716796875
2020-07-28,192.8738250732422
2020-07-29,194.82147216796875
2020-07-30,194.66867065429688
2020-07-31,195.72840881347656
2020-08-03,206.7364044189453
2020-08-04,203.63357543945312
2020-08-05,203.29942321777344
2020-08-06,206.5550079345703
2020-08-07,202.86026000976562
2020-08-10,198.82176208496094
2020-08-11,194.1722412109375
2020-08-12,199.71920776367188
2020-08-13,199.25140380859375
2020-08-14,199.4423370361328
2020-08-17,200.7598419189453
2020-08-18,201.9150848388672
2020-08-19,200.69007873535156
2020-08-20,205.3603973388672
2020-08-21,203.86741638183594
2020-08-24,204.50865173339844
2020-08-25,207.16920471191406
2020-08-26,211.64810180664062
2020-08-27,216.84481811523438
2020-08-28,219.07472229003906
2020-08-31,215.83995056152344
2020-09-01,217.50518798828125
2020-09-02,221.69696044921875
2020-09-03,207.96351623535156
2020-09-04,205.04458618164062
2020-09-08,193.9525604248047
2020-09-09,202.21176147460938
2020-09-10,196.546142578125
2020-09-11,195.2637176513672
2020-09-14,196.5843963623047
2020-09-15,199.80955505371094
2020-09-16,196.23983764648438
2020-09-17,194.19183349609375
2020-09-18,191.7800750732422
2020-09-21,193.83770751953125
2020-09-22,198.508056640625
2020-09-23,191.9715118408203
2020-09-24,194.4597625732422
2020-09-25,198.89085388183594
2020-09-28,200.44122314453125
2020-09-29,198.3549041748047
2020-09-30,201.2930145263672
2020-10-01,203.33152770996094
2020-10-02,197.3308563232422
2020-10-05,201.34083557128906
2020-10-06,197.06288146972656
2020-10-07,200.8144989013672
2020-10-08,201.5322723388672
2020-10-09,206.53756713867188
2020-10-12,211.8874053955078
2020-10-13,213.28463745117188
2020-10-14,211.3705596923828
2020-10-15,210.22215270996094
2020-10-16,210.22215270996094
2020-10-19,205.01585388183594
2020-10-20,205.42739868164062
2020-10-21,205.57095336914062
2020-10-22,205.6570587158203
2020-10-23,206.9394989013672
2020-10-26,201.05377197265625
2020-10-27,204.08753967285156
2020-10-28,193.9716796875
2020-10-29,195.92401123046875
2020-10-30,193.77072143554688
2020-11-02,193.63671875
2020-11-03,197.56053161621094
2020-11-04,207.09263610839844
2020-11-05,213.69615173339844
2020-11-06,214.10769653320312
2020-11-09,209.00668334960938
2020-11-10,201.94378662109375
2020-11-11,207.24578857421875
2020-11-12,206.18344116210938
2020-11-13,207.20745849609375
2020-11-16,207.89649963378906
2020-11-17,205.24554443359375
2020-11-18,202.53965759277344
2020-11-19,203.82540893554688
2020-11-20,201.8775634765625
2020-11-23,201.60890197753906
2020-11-24,205.20716857910156
2020-11-25,205.21676635742188
2020-11-27,206.52171325683594
2020-11-30,205.40869140625
2020-12-01,207.46212768554688
2020-12-02,206.65611267089844
2020-12-03,205.57183837890625
2020-12-04,205.68695068359375
2020-12-07,205.61978149414062
2020-12-08,207.2701873779297
2020-12-09,203.23052978515625
2020-12-10,202.00230407714844
2020-12-11,204.63140869140625
2020-12-14,205.53341674804688
2020-12-15,205.46627807617188
2020-12-16,210.40786743164062
2020-12-17,210.5421905517578
2020-12-18,209.7457733154297
2020-12-21,213.5839385986328
2020-12-22,214.87936401367188
2020-12-23,212.07745361328125
2020-12-24,213.73748779296875
2020-12-28,215.85806274414062
2020-12-29,215.08082580566406
2020-12-30,212.71078491210938
2020-12-31,213.4208526611328
2021-01-04,208.88221740722656
2021-01-05,209.08370971679688
2021-01-06,203.66232299804688
2021-01-07,209.4579620361328
2021-01-08,210.73411560058594
2021-01-11,208.69032287597656
2021-01-12,206.23390197753906
2021-01-13,207.5868377685547
2021-01-14,204.4011688232422
2021-01-15,204.046142578125
2021-01-19,207.6828155517578
2021-01-20,215.2631072998047
2021-01-21,215.86766052246094
2021-01-22,216.8079833984375
2021-01-25,220.24317932128906
2021-01-26,222.92987060546875
2021-01-27,223.47679138183594
2021-01-28,229.2628173828125
2021-01-29,222.57484436035156
2021-02-01,229.95370483398438
2021-02-02,229.81936645507812
2021-02-03,233.16818237304688
2021-02-04,232.21824645996094
2021-02-05,232.40052795410156
2021-02-08,232.6596221923828
2021-02-09,233.9070281982422
2021-02-10,232.9954833984375
2021-02-11,234.5978546142578
2021-02-12,235.07769775390625
2021-02-16,233.83982849121094
2021-02-17,234.85926818847656
2021-02-18,234.46498107910156
2021-02-19,231.75282287597656
2021-02-22,225.5399169921875
2021-02-23,224.3473663330078
2021-02-24,225.5784149169922
2021-02-25,220.23106384277344
2021-02-26,223.49143981933594
2021-03-01,227.8769989013672
2021-03-02,224.92437744140625
2021-03-03,218.8557586669922
2021-03-04,218.05752563476562
2021-03-05,222.74122619628906
2021-03-08,218.69223022460938
2021-03-09,224.83787536621094
2021-03-10,223.5298614501953
2021-03-11,228.05972290039062
2021-03-12,226.73252868652344
2021-03-15,225.82847595214844
2021-03-16,228.61756896972656
2021-03-17,227.97314453125
2021-03-18,221.8949432373047
2021-03-19,221.5390167236328
2021-03-22,226.96334838867188
2021-03-23,228.49249267578125
2021-03-24,226.45361328125
2021-03-25,223.4529266357422
2021-03-26,227.4345703125
2021-03-29,226.24203491210938
2021-03-30,222.98170471191406
2021-03-31,226.7517547607422
2021-04-01,233.08004760742188
2021-04-05,239.54302978515625
2021-04-06,238.3792724609375
2021-04-07,240.3412628173828
2021-04-08,243.56312561035156
2021-04-09,246.0636749267578
2021-04-12,246.12135314941406
2021-04-13,248.60267639160156
2021-04-14,245.8135986328125
2021-04-15,249.57406616210938
2021-04-16,250.76666259765625
2021-04-19,248.84307861328125
2021-04-20,248.3814697265625
2021-04-21,250.61270141601562
2021-04-22,247.3332061767578
2021-04-23,251.16094970703125
2021-04-26,251.545654296875
2021-04-27,251.94960021972656
2021-04-28,244.82301330566406
2021-04-29,242.8514404296875
2021-04-30,242.53402709960938
2021-05-03,242.22634887695312
2021-05-04,238.31195068359375
2021-05-05,237.04246520996094
2021-05-06,240.17771911621094
2021-05-07,242.8032989501953
2021-05-10,237.7252960205078
2021-05-11,236.81158447265625
2021-05-12,229.85816955566406
2021-05-13,233.7340545654297
2021-05-14,238.65817260742188
2021-05-17,235.80178833007812
2021-05-18,233.78213500976562
2021-05-19,234.36050415039062
2021-05-20,237.59947204589844
2021-05-21,236.3366241455078
2021-05-24,241.7445068359375
2021-05-25,242.6506805419922
2021-05-26,242.42897033691406
2021-05-27,240.3274688720703
2021-05-28,240.6841583251953
2021-06-01,238.4862823486328
2021-06-02,238.38990783691406
2021-06-03,236.85719299316406
2021-06-04,241.754150390625
2021-06-07,244.66537475585938
2021-06-08,243.47003173828125
2021-06-09,244.45326232910156
2021-06-10,247.97178649902344
2021-06-11,248.598388671875
2021-06-14,250.5263671875
2021-06-15,249.0514373779297
2021-06-16,248.1067657470703
2021-06-17,251.49989318847656
2021-06-18,250.08291625976562
2021-06-21,253.16763305664062
2021-06-22,255.94384765625
2021-06-23,255.7124786376953
2021-06-24,257.081298828125
2021-06-25,255.47142028808594
2021-06-28,259.0381164550781
2021-06-29,261.6216125488281
2021-06-30,261.13958740234375
2021-07-01,261.8143615722656
2021-07-02,267.646484375
2021-07-06,267.6560363769531
2021-07-07,269.8443298339844
2021-07-08,267.42462158203125
2021-07-09,267.92596435546875
2021-07-12,267.3282775878906
2021-07-13,270.8564758300781
2021-07-14,272.3313293457031
2021-07-15,270.90460205078125
2021-07-16,270.634765625
2021-07-19,267.02947998046875
2021-07-20,269.2562561035156
2021-07-21,271.2613830566406
2021-07-22,275.8305358886719
2021-07-23,279.23333740234375
2021-07-26,278.6356506347656
2021-07-27,276.21612548828125
2021-07-28,275.9075927734375
2021-07-29,276.1775817871094
2021-07-30,274.64483642578125
2021-08-02,274.5580139160156
2021-08-03,276.77520751953125
2021-08-04,276.18719482421875
2021-08-05,279.0887451171875
2021-08-06,279.0308532714844
2021-08-09,277.941650390625
2021-08-10,276.1197509765625
2021-08-11,276.6113586425781
2021-08-12,279.3683166503906
2021-08-13,282.298828125
2021-08-16,283.98577880859375
2021-08-17,282.52044677734375
2021-08-18,280.7917175292969
2021-08-19,286.6251220703125
2021-08-20,293.955810546875
2021-08-23,294.2358093261719
2021-08-24,292.2752380371094
2021-08-25,291.6861267089844
2021-08-26,288.86590576171875
